来源类别,序号,岗位名称,岗位职责,日常工作内容,工作强度,是否经常加班,工作环境,晋升方向,常见单位,考试专业科目,考试内容,推荐指数,一句话总结,原始标题
管理技术岗,097,助理翻译/翻译（小语种方向）,负责法语、德语、西班牙语、阿拉伯语、韩语等小语种资料翻译及国际合作语言保障。,翻译文献、会议口译、国际合作资料整理、涉外接待、语言支持。,★★★☆☆,★★☆☆☆ 涉外任务期间工作较忙。 工作环境： 办公室办公，部分岗位需参加涉外活动。,,小语种翻译 → 高级翻译 → 国际事务管理岗位。,军委机关、军事科学院、军队院校、科研院所。,俄语(15)、日语(4)、法语(3)、德语(1)。,,★★★★☆,岗位较少，但专业稀缺性高，竞争相对较小。,097 助理翻译/翻译（小语种方向）
管理技术岗,098,助理翻译/翻译（情报翻译方向）,负责国外军事情报、科技文献、公开资料的翻译、整理、分析及情报研究支持。,翻译外军资料、整理国际信息、编写情报摘要、分析国外科技动态、建立资料数据库。,★★★★☆,★★★☆☆ 重大任务和专项研究期间工作量增加。 工作环境： 办公室办公，保密要求高。,,情报翻译 → 情报分析员 → 情报研究负责人。,信息支援部队、军事科学院、军委机关、科研院所。,英语(2)。,,★★★★★,兼具语言能力和信息分析能力，是外语类岗位中专业要求最高的方向之一。,098 助理翻译/翻译（情报翻译方向）
管理技术岗,099,助理记者/记者,负责新闻采访、新闻写作、专题报道、重大活动宣传及新闻策划，及时宣传军队建设成果和先进典型。,采访报道、新闻写作、外出采访、新闻编辑、专题策划、新闻审核、参与重大活动宣传。,★★★★☆,★★★★★ 重大活动、演训、节假日宣传及突发新闻期间工作强度较高。 工作环境： 办公室与采访现场相结合，经常外出采访。,,记者 → 主任记者 → 新闻宣传负责人。,军委机关宣传部门、军队报刊、军队院校、医院、科研院所。,新闻(160)。,,★★★★★,新闻传播专业主要报考岗位，文字能力和采访能力要求较高。,099 助理记者/记者
管理技术岗,100,助理记者/电影技术岗位（摄像方向）,负责新闻活动、重大会议、演训保障及宣传片的视频拍摄工作。,现场拍摄、设备调试、镜头设计、素材整理、视频存档、配合后期制作。,★★★★☆,★★★★☆ 重大活动和宣传任务期间经常随队保障。 工作环境： 办公室与外场拍摄相结合。,,摄像师 → 摄像主管 → 宣传制作负责人。,宣传部门、军队院校、医院、融媒体中心。,新闻(18)、艺术基础综合(15)、数学1(12)、管理学(8)、社会科学基础理论(2)。,,★★★★☆,实践性较强，适合影视摄影及广播电视专业。,100 助理记者/电影技术岗位（摄像方向）
管理技术岗,101,四级编导/编导,负责宣传片、专题片、纪录片策划、脚本创作、拍摄组织及后期统筹。,选题策划、脚本编写、现场导演、拍摄协调、后期审核、宣传推广。,★★★★☆,★★★★★ 拍摄周期和后期制作阶段工作强度较高。 工作环境： 办公室、拍摄现场、演播室。,,编导 → 导演 → 宣传部门负责人。,宣传部门、融媒体中心、军队院校。,新闻(48)、艺术基础综合(38)、管理学(30)、戏剧与影视(29)、数学1(13)。,,★★★★★,宣传文化系统热门岗位，创意和统筹能力要求较高。,101 四级编导/编导
管理技术岗,102,四级美术师/美术设计岗位,负责宣传海报、展板、视觉设计、品牌形象设计及文化环境建设。,平面设计、宣传品制作、展览设计、视觉方案制定、设计素材管理。,★★★☆☆,★★★☆☆ 重大活动及宣传任务期间工作增加。 工作环境： 办公室办公。,,设计师 → 高级设计师 → 宣传设计负责人。,宣传部门、军队院校、医院、科研院所。,艺术基础综合(20)、数学1(3)、管理学(2)、艺术设计(1)、教育学(1)。,,★★★★☆,适合视觉传达、艺术设计专业考生。,102 四级美术师/美术设计岗位
管理技术岗,103,助理工程师/美术设计岗位（平面设计方向）,负责宣传画册、海报、画面设计、品牌视觉及印刷设计工作。,版式设计、图片处理、宣传物料制作、设计修改、印刷对接。,★★★☆☆,★★★☆☆ 宣传活动期间工作较忙。 工作环境： 办公室办公。,,平面设计师 → 高级设计师 → 设计主管。,宣传部门、军队院校、医院。,艺术基础综合(20)、新闻(13)、数学2+物理(6)、艺术设计(4)、管理学(4)。,,★★★★☆,工作稳定，设计能力是核心竞争力。,103 助理工程师/美术设计岗位（平面设计方向）
管理技术岗,104,助理编辑/助理工程师（视频制作方向）,负责宣传视频、短视频、专题片剪辑、后期包装及视频发布。,视频剪辑、字幕制作、音频处理、特效制作、素材管理、视频输出。,★★★★☆,★★★★☆ 项目交付及重大宣传节点工作量增加。 工作环境： 办公室、后期制作室。,,视频制作 → 后期主管 → 融媒体负责人。,宣传部门、融媒体中心、军队院校。,数学1(17)、艺术基础综合(7)、新闻(4)、管理学(3)、教育学(2)。,,★★★★★,短视频时代需求持续增长，是热门岗位之一。,104 助理编辑/助理工程师（视频制作方向）
管理技术岗,105,助理编辑/助理记者（新媒体运营方向）,负责微信公众号、网站、短视频平台等新媒体平台运营及内容传播。,内容策划、账号运营、数据分析、活动策划、粉丝互动、平台维护。,★★★★☆,★★★★☆ 热点事件、重大宣传期间工作较忙。 工作环境： 办公室办公。,,运营专员 → 新媒体主管 → 宣传负责人。,宣传部门、军队院校、医院、科研院所。,新闻(81)、英语(4)、汉语言文学(1)、艺术基础综合(1)、管理学(1)。,,★★★★★,近年来增长最快的宣传岗位之一，适合网络与新媒体专业。,105 助理编辑/助理记者（新媒体运营方向）
管理技术岗,106,干事/助理编辑（宣传方向）,负责思想宣传、文化宣传、典型宣传及单位品牌建设工作。,宣传策划、活动组织、新闻撰写、文化建设、宣传资料制作、专题教育。,★★★★☆,★★★★☆ 重大活动和宣传节点工作较忙。 工作环境： 办公室与活动现场结合。,,宣传干事 → 宣传主管 → 宣传部门负责人。,军委机关、军队院校、医院、科研院所。,管理学(1063)、新闻(175)、汉语言文学(143)、政治学(62)、戏剧与影视(21)。,,★★★★★,综合宣传岗位，覆盖单位广，招聘相对稳定。,106 干事/助理编辑（宣传方向）
管理技术岗,107,助理记者/摄影方向,负责新闻摄影、活动摄影、档案摄影及图片资料采集管理。,活动拍摄、新闻摄影、图片后期处理、图片归档、摄影设备维护。,★★★☆☆,★★★★☆ 重大活动和外出保障期间工作增加。 工作环境： 办公室与拍摄现场相结合。,,摄影师 → 摄影主管 → 宣传制作负责人。,宣传部门、军队院校、医院、融媒体中心。,新闻(30)、艺术基础综合(10)、数学1(5)、管理学(4)、社会科学基础理论(3)。,,★★★★☆,适合摄影专业考生，实践能力要求较高。,107 助理记者/摄影方向
管理技术岗,108,研究实习员/助理研究员,负责科研项目实施、实验研究、数据分析、科研报告撰写及科研团队协作，为科研项目提供技术支持。,开展实验研究、收集整理数据、撰写科研论文、参与课题申报、科研会议汇报、整理实验资料。,★★★★☆,★★★★☆ 科研项目攻关、课题验收、论文发表期间工作量较大。 工作环境： 科研实验室、办公室。,,研究实习员/助理研究员 → 高级研究岗位 → 学科带头人（以单位职称评审和岗位设置为准）。,军事科学院、科研院所、军队院校、医学科研机构。,免笔试(1805)、数学1(802)、数学2+物理(405)、英语(114)、法学(79)。,,★★★★★,科研岗位起点，适合硕士、博士及科研能力较强的考生。,108 研究实习员/助理研究员
管理技术岗,109,助理实验师/研究实习员（实验研究方向）,负责实验设计、实验实施、科研设备管理、实验数据分析及科研成果验证。,开展实验、维护实验设备、记录实验数据、分析实验结果、编写实验报告。,★★★★☆,★★★★☆ 实验周期较长时需连续开展实验工作。 工作环境： 实验室。,,实验研究员 → 高级实验研究员 → 实验中心负责人。,科研院所、医学实验室、军队院校。,免笔试(145)、数学2+物理(92)、数学1(59)、数学3+化学(25)、临床医学(21)。,,★★★★☆,偏实验技术路线，适合理工科和医学专业考生。,109 助理实验师/研究实习员（实验研究方向）
管理技术岗,110,研究实习员/助理研究员（材料研究方向）,负责新材料研发、材料性能测试、材料工艺优化及装备材料应用研究。,材料制备、性能检测、实验分析、科研论文撰写、技术攻关。,★★★★☆,★★★★☆ 实验和科研项目期间工作增加。 工作环境： 材料实验室、科研中心。,,材料研究员 → 高级研究员 → 学科负责人。,科研院所、军队院校、装备研发单位。,免笔试(63)、数学1(15)、数学2+物理(8)、数学3+化学(7)、教育学(1)。,,★★★★☆,材料类专业主要报考方向，科研属性明显。,110 研究实习员/助理研究员（材料研究方向）
管理技术岗,111,研究实习员/助理研究员（生物医药方向）,负责生物技术、药物研发、生物安全及医学科研工作。,实验研究、药物检测、生物样本分析、科研数据整理、论文发表。,★★★★☆,★★★★☆ 科研实验周期较长，部分实验需连续进行。 工作环境： 生物实验室、医学科研中心。,,研究员 → 高级研究员 → 科研负责人。,军事医学研究机构、军队医院、科研院所。,免笔试(182)、临床医学(43)、数学3+化学(15)、生物化学+动物生理学(13)、数学2+物理(11)。,,★★★★★,医学科研重要方向，适合生物、药学及医学专业考生。,111 研究实习员/助理研究员（生物医药方向）
管理技术岗,112,研究实习员/助理研究员（人工智能研究方向）,负责人工智能算法研究、智能装备研发、智能决策系统及前沿技术研究。,算法开发、模型训练、数据分析、科研论文、项目研发、成果转化。,★★★★★,★★★★☆ 科研攻关和项目验收期间工作量较大。 工作环境： 实验室、科研中心。,,研究员 → 高级研究员 → 科研团队负责人。,军事科学院、信息支援部队、科研院所、军队院校。,免笔试(65)、数学1(49)、数学2+物理(18)、英语(2)、社会科学基础理论(1)。,,★★★★★,当前重点发展的科研方向，高学历岗位占比较高。,112 研究实习员/助理研究员（人工智能研究方向）
管理技术岗,113,研究实习员/助理研究员（情报研究方向）,负责军事情报、科技情报、国际形势分析及情报产品研究，为决策提供研究支持。,收集公开资料、分析外军动态、撰写研究报告、建立情报数据库、专题研究。,★★★★☆,★★★☆☆ 重大专项研究期间工作较忙。 工作环境： 办公室、科研机构。,,研究员 → 高级研究员 → 情报研究负责人。,军事科学院、信息支援部队、军委机关、科研院所。,免笔试(32)、管理学(13)、数学1(9)、英语(7)、数学2+物理(7)。,,★★★★★,兼具研究和分析能力要求，是军队特色科研岗位。,113 研究实习员/助理研究员（情报研究方向）
管理技术岗,114,助理工程师/工程师（测绘工程方向）,负责军事测绘、地形测量、控制测量、工程测量及测绘成果管理，为部队建设、工程建设和训练提供测绘保障。,开展外业测量、处理测绘数据、绘制地形图、维护测绘数据库、编写测绘报告、更新基础地理信息。,★★★★☆,★★★☆☆ 外业测量、演训保障和工程建设期间工作量增加。 工作环境： 办公室与野外测量现场相结合。,,测绘工程师 → 高级工程师 → 测绘技术负责人。,信息支援部队、战区保障单位、军事科学院、军队院校。,数学1(285)、数学2+物理(127)、免笔试(52)、管理学(3)、数学3+化学(2)。,,★★★★☆,测绘专业主要报考方向，兼具外业与内业工作特点。,114 助理工程师/工程师（测绘工程方向）
管理技术岗,115,助理工程师/工程师（地理信息方向）,负责地理信息系统（GIS）建设、空间数据管理、电子地图制作及地理信息分析。,GIS数据处理、地图制作、数据库维护、空间分析、系统更新、地理信息服务保障。,★★★☆☆,★★☆☆☆ 项目建设阶段工作增加，整体较规律。 工作环境： 办公室办公，以计算机作业为主。,,地理信息工程师 → 高级工程师 → GIS平台主管。,信息支援部队、军事科学院、军队院校、科研院所。,数学1(211)、数学2+物理(56)、免笔试(21)、管理学(2)、政治学(1)。,,★★★★★,数字化测绘核心岗位，近年来需求逐步增加。,115 助理工程师/工程师（地理信息方向）
管理技术岗,116,助理工程师/工程师（水文工程方向）,负责水文调查、水资源分析、水环境监测及军事工程水文保障。,采集水文数据、分析水位变化、编写水文报告、开展现场勘测、维护监测设备。,★★★★☆,★★★☆☆ 汛期、防灾保障及野外调查期间工作增加。 工作环境： 办公室、实验室及野外作业现场。,,水文工程师 → 高级工程师 → 水文保障负责人。,海军、联勤保障部队、军事科学院、工程保障单位。,数学2+物理(269)、数学1(48)、免笔试(23)。,,★★★★☆,专业方向明确，野外保障任务相对较多。,116 助理工程师/工程师（水文工程方向）
管理技术岗,117,助理工程师/工程师（气象工程方向）,负责气象观测、天气预报、气象保障、气候分析及重大任务气象服务。,采集气象数据、天气分析、预报制作、维护观测设备、编写保障方案、参与应急保障。,★★★★☆,★★★★☆ 恶劣天气、重大演训和战备任务期间值班较多。 工作环境： 气象台站、办公室、观测站。,,气象工程师 → 高级工程师 → 气象保障负责人。,空军、海军、战区保障单位、军事科学院。,数学2+物理(509)、数学1(71)、免笔试(42)。,,★★★★☆,军队保障体系的重要岗位，需要较强的数据分析能力。,117 助理工程师/工程师（气象工程方向）
管理技术岗,118,助理工程师/工程师（遥感工程方向）,负责遥感数据获取、影像处理、卫星数据分析及遥感应用研究，为军事决策提供技术支持。,处理遥感影像、分析卫星数据、制作专题图、开展目标识别、建立遥感数据库。,★★★★☆,★★★☆☆ 科研项目和专项保障期间工作较忙。 工作环境： 办公室、遥感数据中心。,,遥感工程师 → 高级工程师 → 遥感技术负责人。,信息支援部队、军事科学院、科研院所、军队院校。,数学2+物理(146)、数学1(75)、免笔试(18)。,,★★★★★,军队信息化建设的重要技术岗位，发展前景较好。,118 助理工程师/工程师（遥感工程方向）
管理技术岗,119,助理农艺师/农艺师（园艺方向）,负责营区园林规划、绿化建设、植物养护及景观维护。,制定绿化方案、植物养护、病虫害防治、景观设计、绿化工程管理。,★★★☆☆,★★☆☆☆ 春秋绿化季工作增加。 工作环境： 办公室与营区现场相结合。,,园艺工程师 → 高级工程师 → 园林负责人。,联勤保障部队、军队院校、疗养院。,生物化学+植物生理学(4)。,,★★★☆☆,岗位数量较少，适合园艺专业毕业生。,119 助理农艺师/农艺师（园艺方向）
管理技术岗,120,助理农艺师/农艺师（农业技术方向）,负责农副业生产、农业技术推广、农业设施管理及农业科研工作。,农业生产管理、技术指导、设施维护、种植管理、农业数据统计。,★★★☆☆,★★☆☆☆ 农忙季节工作量增加。 工作环境： 办公室与生产基地相结合。,,农业技术员 → 高级工程师 → 农业负责人。,联勤保障部队、军队农副业基地。,生物化学+植物生理学(46)。,,★★★☆☆,招聘较少，专业针对性较强。,120 助理农艺师/农艺师（农业技术方向）
管理技术岗,121,助理工程师/工程师（营区环保绿化方向）,负责营区绿化养护、环境建设、绿化工程组织及景观维护。,绿化巡查、工程管理、植物养护、环境整治、绿化资料整理。,★★☆☆☆,★☆☆☆☆ 整体工作规律。 工作环境： 办公室与营区现场。,,绿化管理员 → 绿化负责人。,军队院校、疗养院、联勤保障部队。,数学1(1)。,,★★★☆☆,稳定性较高，招聘规模相对较小。,121 助理工程师/工程师（营区环保绿化方向）
技能岗,132,火炮修理工 / 压制火炮修理工,负责各类火炮武器系统的日常维护、故障检修、性能检测、保养及技术保障，确保装备始终保持良好的战备状态。,日常检查火炮状态、拆装维修部件、更换损坏零件、进行精度校准、参与装备年检、填写维修记录、执行战备保障任务。,★★★★★,★★★★☆,维修车间、装备库房、训练场地，部分时间在室外作业。,初级技术工 → 中级技术工 → 高级技术工 → 技师 → 高级技师。,陆军装备保障部队、装备仓库、训练基地、军械修理单位。,,技能考核、岗位实操、职业技能测试（不同单位要求不同）。,★★★★☆,"重大演训、装备保障及年度检修期间工作量明显增加。
装备保障核心岗位，实践能力要求高，适合机械类技能人才。",132 火炮修理工 / 压制火炮修理工
技能岗,133,防暴装甲车修理工 / 轮式装甲底盘修理工,负责装甲车辆底盘、动力系统、传动系统及相关设备维修保养。,车辆检测、发动机维修、液压系统检查、底盘维护、故障排除、参与野外保障。,★★★★★,★★★★☆,维修车间、训练场、装备保障基地。,维修工 → 技师 → 装备维修负责人。,陆军装备保障单位、维修中心。,,职业技能操作考核。,★★★★★,"演训和野外保障期间工作较忙。
车辆维修需求稳定，是技能岗的重要组成部分。",133 防暴装甲车修理工 / 轮式装甲底盘修理工
技能岗,134,特种车辆修理工兼司机,负责工程车辆、特种保障车辆及专用车辆维修保养。,车辆检修、液压维护、底盘维修、设备检测、应急抢修。,★★★★☆,★★★☆☆,维修车间、保障基地。,维修工 → 技师 → 维修主管。,联勤保障部队、装备保障单位。,,职业技能测试。,★★★★☆,"保障任务期间工作增加。
专业性较强，适合汽车维修类技能人才。",134 特种车辆修理工兼司机
技能岗,135,光电仪器修理工,负责光学仪器、夜视设备、激光设备及光电装备维修保障。,设备检测、线路维修、光学系统调试、设备保养、性能测试。,★★★★☆,★★★☆☆,实验室、维修车间。,维修工 → 技师 → 光电维修负责人。,装备保障单位、科研保障单位。,,技能操作考核。,★★★★☆,"重大保障任务期间工作较忙。
技术含量较高，适合电子、光电专业技能人员。",135 光电仪器修理工
技能岗,136,电站修理工,负责营区供电系统、发电设备、配电设备及应急供电保障。,巡检电站、维修电气设备、排查线路故障、维护发电机组、应急供电保障。,★★★★☆,★★★☆☆,配电房、电站、营区。,电工 → 技师 → 电力保障负责人。,联勤保障部队、营区保障单位。,,电工职业技能考核。,★★★★★,"停电抢修和重大任务期间需应急值守。
需求长期稳定，持证人员优势明显。",136 电站修理工
技能岗,137,液压修理工,负责液压系统检测、维修、更换及故障排查。,液压设备维护、油路检测、密封件更换、设备调试。,★★★★☆,★★★☆☆,维修车间。,维修工 → 技师 → 液压技术负责人。,装备维修单位。,,技能实操。,★★★★☆,"设备集中维修期间较忙。
装备维修重要工种，实践经验要求较高。",137 液压修理工
技能岗,138,钳工,负责机械零件加工、设备装配、维修制造及设备保养。,零件加工、设备拆装、尺寸测量、维修加工、设备维护。,★★★★☆,★★★☆☆,机械加工车间。,钳工 → 技师 → 高级技师。,装备维修中心、军工保障单位。,,钳工技能等级考核。,★★★★☆,"维修高峰期间工作增加。
传统技能岗位，对动手能力要求较高。",138 钳工
技能岗,139,涂装工,负责装备喷涂、防腐处理、表面维护及装备外观修复。,喷漆、防腐处理、表面打磨、设备清洁、材料调配。,★★★☆☆,★★☆☆☆,喷涂车间。,涂装工 → 技师。,装备维修单位。,,职业技能考核。,★★★☆☆,"大型装备维护期间较忙。
专业技能明确，岗位数量相对较少。",139 涂装工
技能岗,140,工程机械修理工,负责工程机械、工程车辆维修保养及故障抢修。,设备检修、液压维护、动力系统维修、工程保障。,★★★★★,★★★★☆,维修车间、施工现场。,维修工 → 技师 → 工程保障负责人。,工程保障部队、联勤保障部队。,,职业技能操作。,★★★★☆,"工程保障任务期间工作强度较高。
工程保障的重要技能岗位。",140 工程机械修理工
技能岗,141,水电工 / 水电修理工,负责营区供水、供电、给排水及相关设施维修保障。,巡检线路、维修水管、电路维护、应急抢修、设备保养。,★★★☆☆,★★★☆☆,营区、设备机房。,维修工 → 技师 → 后勤保障负责人。,联勤保障部队、院校、医院。,,水电工技能考核。,★★★★☆,"故障抢修时需要随时到岗。
营区保障不可缺少的基础岗位。",141 水电工 / 水电修理工
技能岗,142,通信修理工 / 通信装备修理工,负责通信设备安装、调试、维护、故障排除及通信保障任务。,设备巡检、线路测试、通信设备维修、系统调试、应急通信保障。,★★★★☆,★★★★☆,通信机房、设备间、保障现场。,维修工 → 技师 → 通信保障负责人。,信息支援部队、通信保障单位、联勤保障部队。,,通信设备技能考核。,★★★★★,"重大通信保障和演训期间较忙。
技能岗中技术含量较高，通信专业技能优势明显。",142 通信修理工 / 通信装备修理工
技能岗,143,通用驾驶员,负责公务车辆、运输车辆的驾驶、日常维护保养及车辆安全管理，保障人员和物资运输任务顺利完成。,执行车辆派遣、接送人员、运输物资、检查车辆状况、日常保养、清洁车辆、填写行车记录、配合车辆年检。,★★★☆☆,★★★☆☆,营区、公路运输、机关及保障单位。,驾驶员 → 班长 → 运输保障负责人。,联勤保障部队、军队医院、军事院校、机关单位、干休所。,,驾驶技能考核、道路交通法规、车辆基础维护。,★★★★★,"遇有重大活动、节假日保障或紧急运输任务时需加班和值班。
技能岗招聘较多的岗位之一，工作稳定，对驾驶技术要求较高。",143 通用驾驶员
技能岗,144,司机,负责特种保障车辆、抢险车辆、保障车辆等专用车辆驾驶及维护。,驾驶专用车辆执行保障任务、设备检查、车辆维护、参与应急保障及演训运输。,★★★★☆,★★★★☆,保障基地、训练场、公路运输。,驾驶员 → 技师 → 运输保障负责人。,联勤保障部队、装备保障单位、工程保障单位。,,特种车辆驾驶及操作技能考核。,★★★★☆,"演训保障、应急任务期间工作量明显增加。
专业性较强，通常要求相应车型驾驶资格。",144 司机
技能岗,145,司机兼修理工 / 通用驾驶员兼修理工,负责车辆驾驶，同时承担车辆日常保养、故障排查和简单维修工作。,执行运输任务、车辆巡检、更换易损件、维修保养、车辆清洁、填写维修记录。,★★★★☆,★★★☆☆,车辆保障中心、维修车间、公路运输。,驾驶维修工 → 技师 → 运输保障负责人。,联勤保障部队、运输保障单位。,,驾驶技能+维修技能综合考核。,★★★★★,"运输任务集中时工作较忙。
一专多能岗位，兼具驾驶与维修能力更具竞争优势。",145 司机兼修理工 / 通用驾驶员兼修理工
技能岗,146,气象雷达应用员兼驾驶员,负责气象雷达车辆驾驶、设备运输、现场展开及车辆维护保障。,驾驶雷达车辆、协助设备架设、设备运输、车辆保养、参与气象保障任务。,★★★★☆,★★★★☆,野外保障现场、公路运输、气象保障站。,驾驶员 → 技师 → 气象保障负责人。,空军、战区保障单位、气象保障机构。,,驾驶技能及相关岗位操作考核。,★★★★☆,"重大演训、应急保障及恶劣天气期间工作增加。
专业保障岗位，兼顾运输和气象设备保障。",146 气象雷达应用员兼驾驶员
技能岗,147,操作手,负责挖掘机、装载机、推土机、起重机等工程机械操作及日常维护，承担工程建设和抢险保障任务。,驾驶工程机械、施工保障、设备维护、故障排查、参与抢险救援和工程建设。,★★★★★,★★★★☆,施工现场、野外作业区、保障基地。,操作手 → 技师 → 工程保障负责人。,工程保障部队、联勤保障部队、营房建设单位。,,工程机械操作技能考核。,★★★★★,"工程建设、抢险救灾和重大保障任务期间工作强度较高。
工程保障核心技能岗位，持有相应操作证书更具优势。",147 操作手
技能岗,148,炊事员,负责单位日常伙食制作、食品加工、厨房卫生管理及餐饮保障工作，确保按时完成官兵和工作人员的饮食保障任务。,食材清洗切配、烹饪制作、厨房卫生清洁、餐具消毒、食品留样、协助采购验收、参与重大保障供餐。,★★★★★,★★★★☆,食堂后厨、高温厨房。,炊事员 → 炊事班长 → 食堂管理员 → 后勤保障管理岗位。,联勤保障部队、军队医院、军队院校、训练基地、干休所。,,烹饪技能、食品安全知识、岗位实操。,★★★★★,"需早起备餐，节假日、重大演训及大型活动期间保障任务增加。
技能岗招聘数量较多，工作稳定，但体力消耗较大。",148 炊事员
技能岗,149,炊事班班长,负责炊事班日常管理、菜谱制定、人员分工、食品安全管理及重大任务伙食保障。,安排岗位分工、审核采购需求、检查食品安全、指导烹饪制作、协调供餐工作、管理厨房设备。,★★★★★,★★★★☆,食堂、后厨。,炊事班长 → 食堂负责人 → 后勤保障管理岗位。,联勤保障部队、军队医院、军队院校。,,炊事管理、烹饪技能、组织管理能力。,★★★★☆,"保障任务期间需全程组织协调，工作时间较长。
兼顾烹饪与管理，组织协调能力要求较高。",149 炊事班班长
技能岗,150,食堂管理员,负责食堂运营管理、食品安全监督、人员管理、成本控制及后勤协调工作。,制定供餐计划、检查食品安全、管理库存、协调采购、监督卫生、统计餐饮成本、处理日常事务。,★★★☆☆,★★★☆☆,办公室与食堂现场相结合。,食堂管理员 → 后勤主管 → 后勤保障负责人。,军队医院、军事院校、联勤保障部队、干休所。,,后勤管理、食品安全管理、岗位实操。,★★★★☆,"节假日、大型活动期间工作增加。
偏管理岗位，工作规律性相对较好。",150 食堂管理员
技能岗,151,给养员,负责食品、生活物资、给养器材采购计划编制、供应保障及库存管理。,统计需求、验收入库、库存盘点、物资发放、供应协调、建立给养台账。,★★★☆☆,★★☆☆☆,仓库、办公室、物资保障中心。,给养员 → 给养主管 → 后勤保障负责人。,联勤保障部队、军队医院、军事院校、基层保障单位。,,物资管理、仓储管理、岗位实操。,★★★★☆,"大型保障任务和集中采购期间工作增加。
保障供应岗位，责任心和细致程度要求较高。",151 给养员
技能岗,152,炊事员 / 给养员,负责主食、面点、西点等食品制作及特色餐饮保障。,制作馒头、包子、面条、饺子、糕点等，配合完成日常供餐和节日食品制作。,★★★★☆,★★★☆☆,面点加工间、食堂。,面点师 → 面点主管 → 食堂负责人。,军队医院、军事院校、联勤保障部队。,,面点制作技能、食品卫生知识。,★★★★☆,"需提前准备主食，节日保障期间工作增加。
技能要求明确，持有中式面点师资格证更具优势。",152 炊事员 / 给养员
技能岗,153,给养员 / 食堂管理员,负责食材采购验收、储存保管、质量检查、库存管理及食品安全监督。,验收食材、登记入库、检查保质期、冷库管理、库存盘点、协调采购补货。,★★★☆☆,★★☆☆☆,仓库、冷库、食堂。,食材管理员 → 仓储主管 → 后勤保障负责人。,联勤保障部队、军队医院、军事院校、干休所。,,仓储管理、食品安全、岗位技能。,★★★★☆,"节假日前及大型保障任务期间工作增加。
食品安全的重要保障岗位，细心和责任心尤为重要。",153 给养员 / 食堂管理员
技能岗,154,仓库保管员,负责仓库物资验收、入库、保管、盘点、出库及库存管理，确保各类物资账物一致、安全存放。,验收入库、登记台账、定期盘点、物资发放、库存预警、仓库巡查、防火防潮管理、整理仓库。,★★★☆☆,★★☆☆☆,仓库、物资保障中心。,仓库保管员 → 仓库主管 → 仓储保障负责人。,联勤保障部队、军队医院、军事院校、装备仓库、军需仓库。,,仓储管理、岗位技能实操、物资管理知识。,★★★★★,"集中收发物资、年度盘点及重大保障任务期间工作量增加。
技能岗中招聘较多，工作稳定，责任心要求较高。",154 仓库保管员
技能岗,155,器材保管员,负责专业器材、仪器设备、保障器材的验收、保管、维护及发放管理。,器材登记、分类摆放、定期维护、设备检查、出入库登记、器材报废管理。,★★★☆☆,★★☆☆☆,器材库、装备库房。,器材保管员 → 器材主管 → 装备保障负责人。,装备保障单位、医院、军队院校、联勤保障部队。,,器材管理、岗位技能操作。,★★★★☆,"装备集中保障期间工作增加。
设备管理专业性较强，适合细致耐心的考生。",155 器材保管员
技能岗,156,物资保管员 / 综合物资保管员,负责生活物资、办公物资、保障物资计划管理、库存管理及物资供应保障。,编制采购计划、验收入库、库存统计、物资调拨、数据录入、物资发放。,★★★☆☆,★★☆☆☆,办公室、仓储中心。,物资管理员 → 物资主管 → 后勤保障负责人。,联勤保障部队、军事院校、军队医院、机关单位。,,物资管理、仓储基础知识、岗位技能。,★★★★★,"大型保障任务期间工作量增加。
后勤保障的重要岗位，稳定性较高。",156 物资保管员 / 综合物资保管员
技能岗,157,采购员 / 保管员,负责采购物资验收、质量检查、库存管理及采购物资全过程管理。,验收采购物资、核对单据、库存登记、质量抽检、协调采购部门、整理采购档案。,★★★☆☆,★★★☆☆,仓库、办公室。,采购保管员 → 仓储主管 → 后勤管理岗位。,联勤保障部队、军队医院、军队院校。,,采购管理、仓储管理、岗位技能。,★★★★☆,"集中采购和年度保障期间工作增加。
兼顾采购与仓储管理，工作较为稳定。",157 采购员 / 保管员
技能岗,158,调度员,负责运输调度、车辆调度、物资配送调度及保障任务协调，确保运输和供应任务高效完成。,安排运输计划、协调车辆、跟踪运输进度、统计运输数据、处理突发调度任务。,★★★★☆,★★★★☆,调度中心、办公室。,调度员 → 调度主管 → 运输保障负责人。,联勤保障部队、运输保障单位、军队医院、保障中心。,,运输调度、岗位技能、协调组织能力。,★★★★★,"重大保障、演训和应急运输期间工作较忙，部分岗位实行值班制度。
后勤保障体系的重要协调岗位，对组织协调能力要求较高。",158 调度员
技能岗,159,木工,负责营房门窗、家具、木质设施制作、维修及日常养护，保障营区基础设施正常使用。,维修门窗、安装家具、制作木质构件、更换损坏部件、巡检木质设施、维护工具设备。,★★★☆☆,★★☆☆☆,维修车间、营区、施工现场。,木工 → 高级技工 → 营房维修负责人。,联勤保障部队、军事院校、军队医院、干休所。,,木工技能实操、施工安全知识。,★★★☆☆,"营房集中维修及保障任务期间工作增加。
传统保障工种，工作节奏相对稳定，技术经验越丰富优势越明显。",159 木工
